Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],I have some blocks to make some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam33.xml,['Adam'],make|makes|making|maked,['P3Y6M9D'],d you do you make yours one,,,,,0,,,
Brown,adam34.xml,['Adam'],make|makes|making|maked,['P3Y7M7D'],I will make him dead,dead,event,dead,event,event,,,
Brown,adam34.xml,['Adam'],make|makes|making|maked,['P3Y7M7D'],I will make a horn drum,drum,object,drum,object,object,,,
Brown,adam34.xml,['Adam'],make|makes|making|maked,['P3Y7M7D'],he was making a horn,horn,object,horn,object,object,,,
Brown,adam34.xml,['Adam'],make|makes|making|maked,['P3Y7M7D'],now you can make Jello pie,pie,object,pie,object,object,,,
Brown,adam34.xml,['Adam'],make|makes|making|maked,['P3Y7M7D'],what d you make dat that snake,snake,object,snake,object,object,,,
Brown,adam35.xml,['Adam'],make|makes|making|maked,['P3Y8M1D'],I want to make something Mommy,something,pronoun,something,object,!!!,,,
Brown,adam35.xml,['Adam'],make|makes|making|maked,['P3Y8M1D'],I making two knocks,knock,event,knock,event,event,,,
Brown,adam35.xml,['Adam'],make|makes|making|maked,['P3Y8M1D'],it's make a noise,noise,event,noise,event,event,,,
Brown,adam35.xml,['Adam'],make|makes|making|maked,['P3Y8M1D'],doesn't make any noise,noise,event,noise,event,event,,,
Brown,adam35.xml,['Adam'],make|makes|making|maked,['P3Y8M1D'],doesn't make any noise,noise,event,noise,event,event,,,
Brown,adam35.xml,['Adam'],make|makes|making|maked,['P3Y8M1D'],I want to make a airplane,airplane,object,airplane,object,object,,,
